method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m5_multiscale_gate,13,0.6024755345468948,0.20742947881300536,0.5462711186938257,553089,4107403,43.913583278656006
m5_multiscale_gate,14,0.603745831248336,0.20801403427582849,0.547719659451972,522063,4330251,46.732025146484375
m5_multiscale_gate,15,0.6064205024471588,0.20923590350523072,0.5532397386499187,505808,4403173,47.3433735370636
m5_multiscale_gate,16,0.6097670735844369,0.21080267736929206,0.5649210646461839,477680,4458527,48.12455773353577
m5_multiscale_gate,17,0.6176008437361408,0.21434996435061232,0.5681468424349003,450258,4518348,49.04044985771179
m5_multiscale_gate,18,0.6154773661131582,0.21336362245984192,0.5623629178016549,538532,4576757,49.795530557632446
m5_multiscale_gate,19,0.6054038159977393,0.20880150528663752,0.5555158874918498,582350,4690957,51.20988154411316
m5_multiscale_gate,20,0.6065438343754562,0.20931665387728315,0.5575731066872956,552965,4820567,52.8760302066803
m5_multiscale_gate,21,0.6058594484949652,0.20901551190438591,0.5564657053690047,562085,4940197,54.17644238471985
m5_multiscale_gate,22,0.6076473198362927,0.20986901855527032,0.5588169858741441,528347,5070337,55.04710817337036
m5_multiscale_gate,23,0.6076763779399299,0.20991738520690875,0.5558006112279016,506792,5155677,56.30371904373169
m5_multiscale_gate,24,0.6140133184092741,0.21280478628714058,0.562853212989499,436408,5250594,57.007537603378296
m5_multiscale_gate,25,0.6111295349833722,0.21144772554870828,0.554267027867603,507128,5290993,57.24924969673157
m5_multiscale_gate,26,0.5995618131796541,0.20620272313116278,0.5458564089014599,581336,5382582,59.06518507003784
m5_multiscale_gate,27,0.6021425028468462,0.2074122587597453,0.5475337375188367,518487,5522799,60.122408628463745
m5_multiscale_gate,28,0.606657124321327,0.20943615846709637,0.5556034742236913,459375,5616526,61.86047410964966
m5_multiscale_gate,29,0.608113304501915,0.21017001111315753,0.5681892526527854,493827,5653949,61.302939653396606
m5_multiscale_gate,30,0.6087524827085979,0.21042694713982282,0.5709155251467423,468451,5732803,61.27509641647339
m2_m5_ensemble,4,0.6065164790526273,0.20916925389831822,0.5360339410052489,591180,5452143,25.279063940048218
m2_m5_ensemble,5,0.5951301603636335,0.20405974993646914,0.5242653207119297,638165,6458654,30.682334661483765
m2_m5_ensemble,6,0.5985050578549677,0.20563694923765513,0.5288501264398544,580979,7618895,37.34774160385132
m2_m5_ensemble,7,0.5999633172865972,0.20628408195573059,0.5314257979103693,546166,8635883,42.6126651763916
m2_m5_ensemble,8,0.6001935875138937,0.20638162513585206,0.533412581597662,564794,9334363,45.977320432662964
m2_m5_ensemble,9,0.6045645281730275,0.20839107532894582,0.5467918446809718,500383,10042495,49.97142291069031
m2_m5_ensemble,10,0.6154659843944377,0.21334336108514115,0.5538060297749465,460907,10627507,52.625778913497925
m2_m5_ensemble,11,0.6114231795993832,0.21146844865852513,0.5466708252471113,574411,11155033,54.99433255195618
m2_m5_ensemble,12,0.5982292523948002,0.20544971208838275,0.5395121571682888,609323,11990096,59.00624203681946
m2_m5_ensemble,13,0.6025944492587434,0.2074741544818197,0.5461030503675932,553089,12975090,62.83843517303467
m2_m5_ensemble,14,0.6037975801668876,0.20803390876305014,0.5476624529278787,522063,13843209,67.33459401130676
m2_m5_ensemble,15,0.6064784726004988,0.20925836355164792,0.5531981851371464,505808,14385846,68.6185450553894
m2_m5_ensemble,16,0.6099047999671181,0.21087520966294712,0.5648713013702868,477680,14843493,70.572016954422
m2_m5_ensemble,17,0.617622011109211,0.21436193954210808,0.5681370467669651,450258,15305585,72.8792564868927
m2_m5_ensemble,18,0.6156374920638635,0.21344507874220836,0.5623180672067278,538532,15742447,74.30133605003357
m2_m5_ensemble,19,0.6053998193710592,0.20879644010508636,0.5556101640678678,582350,16427903,77.0351734161377
m2_m5_ensemble,20,0.606622027768339,0.20935488739653577,0.5574800717845243,552965,17244533,80.57008624076843
m2_m5_ensemble,21,0.6059448110926178,0.20904619801544677,0.5563702364324941,562085,18019835,83.23267602920532
m2_m5_ensemble,22,0.6076565444356107,0.2098666188749312,0.558882362430115,528347,18735613,84.64426326751709
m2_m5_ensemble,23,0.607706082189723,0.2099313272307523,0.555733266329921,506792,19295297,87.47336339950562
m2_m5_ensemble,24,0.6141006371542039,0.2128432251988832,0.5627089427563249,436408,19850833,89.09230399131775
m2_m5_ensemble,25,0.6112428591666057,0.21150201394965815,0.5541403010803336,507128,20201963,89.9880793094635
m2_m5_ensemble,26,0.5995035861655199,0.2061837085747359,0.5458391436305396,581336,20779461,93.18626761436462
m2_m5_ensemble,27,0.6021691397456824,0.20742427271849714,0.5474849739313044,518487,21575558,95.44554710388184
m2_m5_ensemble,28,0.6067561657235713,0.20948211036281122,0.5555624342269929,459375,22269851,99.06295609474182
m2_m5_ensemble,29,0.6082283983548035,0.21022501504529484,0.5681988018050106,493827,22718896,98.91002058982849
m2_m5_ensemble,30,0.6088609270666552,0.21047947889880436,0.5709450014852532,468451,23204068,99.53910803794861
