method,day,log_loss,brier,pr_auc,n,n_train,fit_time
rolling_3,10,0.6161121320922119,0.21361826443021592,0.5532594847027088,460907,1611343,4.276993036270142
rolling_7,10,0.6158790418977466,0.21352199491909535,0.55354638419066,460907,3920263,11.050335884094238
rolling_14,10,0.6155054807627711,0.21335800290448953,0.5533407522164592,460907,5578405,14.624531745910645
decay_hl1,10,0.6197457807117065,0.21522466019699923,0.545615784884051,460907,5578405,14.674770593643188
decay_hl3,10,0.6167597503300307,0.21391458427159282,0.5515134207519949,460907,5578405,14.64692211151123
decay_hl7,10,0.6159785320319524,0.2135692776093592,0.5527489888425569,460907,5578405,14.69316554069519
expanding,11,0.6128370547319305,0.21209305938757309,0.5458907306331304,574411,6039312,15.981213808059692
rolling_1,11,0.6118811893821097,0.21165677730459412,0.5446300142173481,574411,460907,1.1046772003173828
rolling_3,11,0.6111761019027474,0.21134318775188712,0.5461232124323172,574411,1526084,4.583303689956665
rolling_7,11,0.6114554711394014,0.21148074663518243,0.5461999326197001,574411,3882574,11.008851528167725
rolling_14,11,0.6128370547319305,0.21209305938757309,0.5458907306331304,574411,6039312,15.948469877243042
decay_hl1,11,0.6162512255699218,0.21356262909241333,0.5366765373158031,574411,6039312,15.985401630401611
decay_hl3,11,0.6132345625009025,0.21227034567936184,0.5435690702211875,574411,6039312,16.002312898635864
decay_hl7,11,0.6127755687037516,0.21207142132729154,0.545140123733941,574411,6039312,15.984104633331299
expanding,12,0.5984012729799792,0.20552879421460182,0.5392056661545661,609323,6613723,17.64682102203369
rolling_1,12,0.600301506230932,0.20634627497358504,0.5357163432778886,609323,574411,1.474947214126587
rolling_3,12,0.5985413894920635,0.20558658480392875,0.5389171264975305,609323,1535701,4.567199230194092
rolling_7,12,0.5980972127863008,0.20543610833875084,0.5397849711828322,609323,3865805,10.888497352600098
rolling_14,12,0.5984012729799792,0.20552879421460182,0.5392056661545661,609323,6613723,17.640634298324585
decay_hl1,12,0.6047011726252437,0.20813444422868616,0.529286038888555,609323,6613723,17.56909418106079
decay_hl3,12,0.6001217687454534,0.2062377995036282,0.5364086263497213,609323,6613723,17.63107919692993
decay_hl7,12,0.5989836912908967,0.20576920196342294,0.5382899847130185,609323,6613723,17.59704041481018
expanding,13,0.6028836338569232,0.20760598925246207,0.5458213071223088,553089,7223046,19.32569932937622
rolling_1,13,0.6027833468655144,0.20758088573943978,0.5455248621463546,553089,609323,1.5471405982971191
rolling_3,13,0.6033654803529657,0.20779786555821936,0.5450070538724225,553089,1644641,4.392675161361694
rolling_7,13,0.6027194414818884,0.20753950058299622,0.5455695140394227,553089,3836963,10.805685758590698
rolling_14,13,0.6028836338569232,0.20760598925246207,0.5458213071223088,553089,7223046,19.29574203491211
decay_hl1,13,0.6082972309698147,0.20989896591074722,0.5358809188619347,553089,7223046,19.361871480941772
decay_hl3,13,0.604457246705327,0.20825440935407089,0.54294350522545,553089,7223046,19.30562925338745
decay_hl7,13,0.6034144554381061,0.2078187139224275,0.5448691362684621,553089,7223046,19.366256713867188
expanding,14,0.6041832928602184,0.20822080395449766,0.5468568353359311,522063,7776135,20.897146940231323
rolling_1,14,0.6043861676024439,0.2083024629016754,0.5465855857187001,522063,553089,1.3964879512786865
rolling_3,14,0.6041773388679544,0.20818290319239874,0.5472228007379909,522063,1736823,4.653514862060547
rolling_7,14,0.6040687481261107,0.20815567598253415,0.5469667078921967,522063,3809073,10.747195482254028
rolling_14,14,0.6041832928602184,0.20822080395449766,0.5468568353359311,522063,7776135,20.85001039505005
decay_hl1,14,0.6096830676046916,0.21054943720094316,0.5370940985919667,522063,7776135,20.88235592842102
decay_hl3,14,0.6058188347679596,0.20890464931261685,0.5440534880708308,522063,7776135,20.936676740646362
decay_hl7,14,0.6047753743896616,0.20846654897485184,0.5458921800923194,522063,7776135,20.90316605567932
expanding,15,0.6070868904800519,0.20950927588869753,0.5521223069996486,505808,8298198,21.76085638999939
rolling_1,15,0.6069891910711065,0.20949851037154188,0.5513393388414582,505808,522063,1.2582571506500244
rolling_3,15,0.6066018814908865,0.20931556015918423,0.5529505969679893,505808,1684475,4.4920313358306885
rolling_7,15,0.6067873490584422,0.20940559324337024,0.5529743658547122,505808,3784970,10.661216020584106
rolling_14,15,0.6070984087764396,0.2095006235563809,0.5520799483727138,505808,7726163,20.775169372558594
decay_hl1,15,0.612656199082764,0.21189772915632538,0.5421121654803671,505808,8298198,21.757201194763184
decay_hl3,15,0.6085855128500779,0.21013734490286623,0.5494621213298557,505808,8298198,21.755281925201416
decay_hl7,15,0.6075516002748867,0.20970046790710553,0.5512893791443326,505808,8298198,21.789658308029175
expanding,16,0.6108174323454542,0.21128857250263652,0.5637356331618395,477680,8804006,23.080039262771606
rolling_1,16,0.6106087968554949,0.21115111641030246,0.5629817566489482,477680,505808,1.291900873184204
rolling_3,16,0.6101960795919327,0.2110068370630829,0.5643586965286009,477680,1580960,4.208144664764404
rolling_7,16,0.6099361424449027,0.21084486165615424,0.5645523430833783,477680,3725984,10.532106876373291
rolling_14,16,0.6106952093019201,0.21122986301484467,0.5641734155771838,477680,7675879,20.63177490234375
