day,beta,beta_std,beta_A,beta_B
37,0.6031684875488281,0.016634978353977203,0.6011472940444946,0.6051052212715149
38,0.7005735635757446,0.023651063442230225,0.6973833441734314,0.7039251923561096
39,0.6348646879196167,0.01840563304722309,0.6303019523620605,0.6396709680557251
40,0.7152926325798035,0.021427134051918983,0.7067363858222961,0.7235242128372192
41,0.9351217150688171,0.014894604682922363,0.9303204417228699,0.9398092031478882
42,0.9851801991462708,0.005378409288823605,0.9835532903671265,0.9867855310440063
43,0.9933172464370728,0.002970638684928417,0.9923984408378601,0.9942190051078796
44,0.9946366548538208,0.0024267658591270447,0.9938746690750122,0.9954098463058472
45,0.993460476398468,0.002836858155205846,0.9926480054855347,0.994300365447998
46,0.9900949001312256,0.0037917171139270067,0.988854169845581,0.9913672804832458
47,0.9839231967926025,0.005129669792950153,0.9819581508636475,0.9858960509300232
48,0.9686360955238342,0.007922571152448654,0.9653456211090088,0.9722148776054382
49,0.9480698108673096,0.010010250844061375,0.9431326389312744,0.9533123970031738
50,0.9241316914558411,0.011640680022537708,0.9174577593803406,0.9304419159889221
51,0.8891609907150269,0.013203630223870277,0.8812856078147888,0.8968290090560913
52,0.8546056151390076,0.01311353500932455,0.8470270037651062,0.8621842265129089
53,0.8154269456863403,0.01201561838388443,0.8078280091285706,0.8228357434272766
54,0.8130820393562317,0.011299043893814087,0.8063443899154663,0.8196073770523071
55,0.866811215877533,0.013217941857874393,0.8610610365867615,0.8727245926856995
56,0.9182285070419312,0.013111207634210587,0.9142539501190186,0.922256350517273
57,0.9403411746025085,0.011828886345028877,0.9370965361595154,0.9437454342842102
58,0.9409266114234924,0.012340877205133438,0.9378594160079956,0.9440516233444214
59,0.9329692125320435,0.013396280817687511,0.9293947815895081,0.9367547035217285
60,0.9193079471588135,0.014963378198444843,0.9153210520744324,0.92338627576828
61,0.9036715626716614,0.015390735119581223,0.899472713470459,0.9077218770980835
62,0.8847706913948059,0.015932222828269005,0.8808405995368958,0.8888829350471497
63,0.8837710022926331,0.01497554685920477,0.8796461820602417,0.8878684043884277
64,0.8826257586479187,0.015063155442476273,0.8782170414924622,0.8869470953941345
65,0.8610508441925049,0.01546757947653532,0.8569430708885193,0.8652922511100769
66,0.8344777226448059,0.014980021864175797,0.8304787278175354,0.8387581706047058
67,0.8069170117378235,0.014864001423120499,0.8033227920532227,0.810501754283905
68,0.7891871929168701,0.014698313549160957,0.7852363586425781,0.7931012511253357
69,0.851239025592804,0.015095409005880356,0.8477074503898621,0.8548132181167603
70,0.9010172486305237,0.014145130291581154,0.8984437584877014,0.9036744236946106
71,0.8935774564743042,0.015204125083982944,0.8897550106048584,0.8974719643592834
72,0.8416383266448975,0.016048971563577652,0.8358926773071289,0.8472850918769836
73,0.7964874505996704,0.015770813450217247,0.7902431488037109,0.8028748035430908
74,0.7938834428787231,0.016193829476833344,0.7876245379447937,0.7999371886253357
75,0.7981308698654175,0.016125736758112907,0.7931321263313293,0.803305983543396
76,0.8108428716659546,0.01629606820642948,0.8065178990364075,0.8154537081718445
77,0.8174431920051575,0.01564849726855755,0.8137903809547424,0.8213217854499817
78,0.7606337070465088,0.014986393041908741,0.7570341229438782,0.7644608616828918
79,0.6751521229743958,0.010801662690937519,0.6715582609176636,0.678917646408081
80,0.6779394149780273,0.012797822244465351,0.6750013828277588,0.6808853149414062
81,0.7420170307159424,0.018753182142972946,0.7397136092185974,0.7444692850112915
82,0.7806559205055237,0.021035892888903618,0.7792641520500183,0.7820201516151428
83,0.913822591304779,0.015803346410393715,0.9119055867195129,0.9158338308334351
84,0.9711350798606873,0.007761095184832811,0.9702484607696533,0.9720171689987183
85,0.9821367263793945,0.005704004317522049,0.9811957478523254,0.9830839037895203
86,0.9846160411834717,0.004934821277856827,0.9836514592170715,0.9855477213859558
87,0.9791020750999451,0.006103754974901676,0.9775719046592712,0.9806118607521057
88,0.9632938504219055,0.008957652375102043,0.9608319401741028,0.9658055305480957
89,0.9384223818778992,0.010868271812796593,0.9350952506065369,0.941744863986969
90,0.9023283123970032,0.012813474982976913,0.8973950147628784,0.9070554971694946
91,0.9002884030342102,0.011881283484399319,0.8956688642501831,0.9048528671264648
92,0.9076855182647705,0.011377386748790741,0.9032157063484192,0.9120785593986511
93,0.8993303775787354,0.011849751695990562,0.8945536613464355,0.9042038321495056
94,0.8799195885658264,0.012511268258094788,0.875169038772583,0.8848574161529541
95,0.8472407460212708,0.013021300546824932,0.8422012329101562,0.8523006439208984
96,0.8078364133834839,0.012687034904956818,0.8030564188957214,0.8125846982002258
97,0.8397579789161682,0.012920276261866093,0.835229754447937,0.8438822627067566
98,0.8786247372627258,0.01322693657130003,0.8742475509643555,0.8833730816841125
99,0.8540125489234924,0.01396863255649805,0.8487101793289185,0.8595458269119263
100,0.7226442098617554,0.01255846582353115,0.7145052552223206,0.7308158278465271
101,0.5963172912597656,0.009908496402204037,0.5883486866950989,0.60458904504776
102,0.6376678943634033,0.009301417507231236,0.6310977339744568,0.6438223719596863
103,0.6797630786895752,0.01146087609231472,0.6754689812660217,0.6843289732933044
104,0.7855013012886047,0.01666637323796749,0.7820597290992737,0.7889842391014099
105,0.7947967052459717,0.016813376918435097,0.7911859154701233,0.7985801696777344
106,0.6337814331054688,0.010381847620010376,0.6300804018974304,0.6375522017478943
107,0.3944101631641388,0.008965330198407173,0.39248839020729065,0.3962889313697815
108,0.3952341377735138,0.010054567828774452,0.3933115005493164,0.39724597334861755
109,0.5705937743186951,0.01702924817800522,0.5682471394538879,0.573036253452301
110,0.6728090047836304,0.02412368729710579,0.6700764298439026,0.675611674785614
111,0.9424459338188171,0.014170019887387753,0.9399975538253784,0.9448749423027039
112,0.9915103912353516,0.0033876304514706135,0.9908733367919922,0.9921298623085022
113,0.9968758225440979,0.001485557178966701,0.9965591430664062,0.997183620929718
114,0.9972355365753174,0.001348569872789085,0.9968903064727783,0.9975762367248535
115,0.9957413077354431,0.0017950894543901086,0.9952343106269836,0.996220588684082
116,0.9905827641487122,0.00310631119646132,0.9897358417510986,0.9914761185646057
117,0.9746479392051697,0.0057917204685509205,0.9723649621009827,0.9767920970916748
118,0.9449095129966736,0.008172910660505295,0.9407796859741211,0.9489954113960266
119,0.8970337510108948,0.010306686162948608,0.8905923366546631,0.9030998945236206
