method,block,n,mean_residual,log_loss
long_only,13,175779,-0.011479437928663865,0.37249733793564077
long_only,14,173763,-0.010496676127484998,0.37987590859832204
long_only,15,143307,-0.011687674255143414,0.40565874804433033
long_only,16,135018,-0.011941214138187077,0.4077971424549854
long_only,17,123560,-0.019191506715896593,0.3936659996382804
long_only,18,105017,-0.020234046161196763,0.39470144794079765
long_only,19,92509,-0.017189832629382795,0.3879803531419856
long_only,20,79700,-0.01590785738712909,0.3902130479579969
long_only,21,74971,-0.015402774087270874,0.39008417346668367
long_only,22,62841,-0.015001255969390257,0.38656241130013025
long_only,23,58976,-0.01559378215982164,0.39040554112212694
short_only,0,54323,-0.006586834733800983,0.40964940638122277
short_only,1,62437,-0.0018876463896991763,0.41653844572594256
short_only,2,82047,-0.0052552578364443644,0.3930187307264725
short_only,3,93968,-0.004337466107577266,0.4021728150019044
short_only,4,129965,-0.005675746826343196,0.35148848957690043
short_only,5,112080,-0.0050272369601335,0.3802439682205698
short_only,6,104607,-0.007055922116275686,0.3929588827933195
short_only,7,119136,-0.003378512919702033,0.4065546671587138
short_only,8,131575,-0.007654187230281541,0.3669232063551281
short_only,9,142008,-0.007129416686923144,0.3715945746038161
short_only,10,139364,-0.014083200167006765,0.37211588876850454
short_only,11,127777,-0.006829503209313198,0.39740407297045516
short_only,12,142693,-0.00925633366344259,0.39093579527953065
short_only,13,175779,-0.006664217703711235,0.37184808619540055
short_only,14,173763,-0.0044572030918121714,0.37979170601942175
short_only,15,143307,-0.005586039005182576,0.4051915422529168
short_only,16,135018,-0.005544556930076085,0.40721986873218363
short_only,17,123560,-0.011484602204325444,0.3922174451859001
short_only,18,105017,-0.012685583002007218,0.39313126785554564
short_only,19,92509,-0.009449029561468734,0.3863840874095124
short_only,20,79700,-0.00843433705882463,0.3883470142700423
short_only,21,74971,-0.007288620755684571,0.3877007073625729
short_only,22,62841,-0.0066666041346661025,0.38434996247820014
short_only,23,58976,-0.0071658898677477625,0.38801980369870503
combined,0,54323,-0.009152254328002965,0.4097211390987046
combined,1,62437,-0.0035677366676316324,0.416099698285098
combined,2,82047,-0.009439431309207458,0.39473055882599134
combined,3,93968,-0.006040484233788279,0.40248958985217126
combined,4,129965,-0.006608980769138582,0.35174457497393036
combined,5,112080,-0.00565946610504396,0.3799419183806964
combined,6,104607,-0.008919576570988042,0.393067369180875
combined,7,119136,-0.0055414521674096865,0.40671186701257095
combined,8,131575,-0.017865020199785635,0.36967038459735657
combined,9,142008,-0.0176963051512415,0.37438664608025246
combined,10,139364,-0.01878704998509479,0.37357211405681756
combined,11,127777,-0.009653975694354854,0.3989584564968807
combined,12,142693,-0.008378146197368304,0.3909743562242133
combined,13,175779,-0.0064197800887385486,0.3719872731930595
combined,14,173763,-0.005341521706605551,0.3794733494144686
combined,15,143307,-0.006203360954435993,0.40527087364359543
combined,16,135018,-0.0059870080388679265,0.4073118431778914
combined,17,123560,-0.012881079181071531,0.3926804690887176
combined,18,105017,-0.013471278568642438,0.3936911311928041
combined,19,92509,-0.010260507578439507,0.3871043075418668
combined,20,79700,-0.008696667161545305,0.3893779173911254
combined,21,74971,-0.007592009182995385,0.38921846893359774
combined,22,62841,-0.007547554634214176,0.38578013440302494
combined,23,58976,-0.007952865542507626,0.38960543836271844
time_of_day,0,54323,0.0031006994415327086,0.40945952487749987
time_of_day,1,62437,-0.005236929966762726,0.4161894916885851
time_of_day,2,82047,-0.001734165290026678,0.395029816442904
time_of_day,3,93968,-0.0011132577178904481,0.4025101758659323
time_of_day,4,129965,-0.007658609023208801,0.3519555019405446
time_of_day,5,112080,-0.007150286835635356,0.380084020489031
time_of_day,6,104607,-0.00592746240862486,0.3933151692114749
time_of_day,7,119136,-0.006813070226200235,0.40694066094141246
time_of_day,8,131575,-0.015865537590248092,0.3707486972440869
time_of_day,9,142008,-0.01414977359140348,0.37557656125949895
time_of_day,10,139364,-0.012582934882809087,0.37326075392444374
time_of_day,11,127777,-0.011917927753334171,0.4000135715227491
time_of_day,12,142693,-0.013026655099601136,0.39183146894527665
time_of_day,13,175779,-0.013638130938756024,0.3732571204925708
time_of_day,14,173763,-0.010369786764129809,0.380148128630334
time_of_day,15,143307,-0.01026197310408307,0.4056595363138748
time_of_day,16,135018,-0.0065315182757352,0.4075598379488954
time_of_day,17,123560,-0.0033903887224440315,0.3925380913849955
time_of_day,18,105017,0.0007317493526525224,0.39321371770230634
time_of_day,19,92509,0.003271737136108963,0.3868990390717122
time_of_day,20,79700,0.0030813228105686613,0.3893115622363214
time_of_day,21,74971,0.0025715071862402418,0.38925625326973246
time_of_day,22,62841,0.003364749967252447,0.385752911162209
time_of_day,23,58976,-0.005420565019269583,0.38968355933668775
