method,day,n,log_loss,brier,ece,clicks
reset_ons,21,562085,0.6056592375603277,0.20896110418964464,0.005467096375011125,205782
persistent_ons,21,562085,0.6056573588668491,0.20896007236130576,0.0055223320191978564,205782
ap_ops,21,562085,0.6056599030639761,0.208959481156738,0.005649828170777617,205782
no_slope,21,562085,0.6059209147741325,0.20904943056626235,0.009929553362359627,205782
ops,22,528347,0.607624933158716,0.20987451671623228,0.0053702259797438106,195055
reset_ons,22,528347,0.6075331795763319,0.20983995510629658,0.005690696405362453,195055
persistent_ons,22,528347,0.6075303211539034,0.2098387950013661,0.00566591907899882,195055
ap_ops,22,528347,0.6075251394923137,0.20983639953717664,0.005844454152982178,195055
no_slope,22,528347,0.6076321539619017,0.2098615223997201,0.007799583201303721,195055
ops,23,506792,0.6077410648184798,0.20995874337391524,0.007176980734799448,186589
reset_ons,23,506792,0.6075125974327116,0.20987187989952,0.005830478261320416,186589
persistent_ons,23,506792,0.6075114864296542,0.2098714242869565,0.005810106896039125,186589
ap_ops,23,506792,0.6075106722149135,0.20987026681174753,0.006107056376542505,186589
no_slope,23,506792,0.6076530731511166,0.20991014459572616,0.00741093722074691,186589
ops,24,436408,0.6138374570625289,0.21270500655469107,0.00679227092915919,164916
reset_ons,24,436408,0.6138191124889918,0.2127018705093785,0.00649571453970394,164916
persistent_ons,24,436408,0.6138140898195572,0.2126996768574758,0.006543335325190707,164916
ap_ops,24,436408,0.613798710676866,0.21269265967558876,0.006541517105052238,164916
no_slope,24,436408,0.6138443045270288,0.21269911480355985,0.007769818512115108,164916
ops,25,507128,0.6114521794559962,0.21158158483492542,0.007587948505230485,188189
reset_ons,25,507128,0.6113489708199389,0.21154450147889878,0.006968439754332964,188189
persistent_ons,25,507128,0.6113476676137507,0.21154399142416633,0.007021798831070615,188189
ap_ops,25,507128,0.6113494280620447,0.21154380215301594,0.007211167081467428,188189
no_slope,25,507128,0.6113543835866216,0.21154117134083625,0.008114751364441649,188189
ops,26,581336,0.5989318558735527,0.20600401293518708,0.00797424533056915,206145
reset_ons,26,581336,0.598793973125169,0.2059561684841154,0.007448070737074383,206145
persistent_ons,26,581336,0.5987937265210516,0.20595604807969978,0.007380175023176376,206145
ap_ops,26,581336,0.5987952353484439,0.20595616500254316,0.007461275953870606,206145
no_slope,26,581336,0.599087836479983,0.20604867720473055,0.01016927005249686,206145
ops,27,518487,0.6022832350554445,0.20747938648750103,0.006317659846020962,185940
reset_ons,27,518487,0.601846353028727,0.20733460676541238,0.006613662655043032,185940
persistent_ons,27,518487,0.6018422603976531,0.20733292436100015,0.006638854719286976,185940
ap_ops,27,518487,0.6018482963879045,0.20733390267753068,0.006622928222327178,185940
no_slope,27,518487,0.6020761996098596,0.20740272218518843,0.00854251124456913,185940
ops,28,459375,0.6066127613175143,0.209408764231493,0.006890421090742769,168527
reset_ons,28,459375,0.6064441502788402,0.2093554968344018,0.006451890891363359,168527
persistent_ons,28,459375,0.6064412563183422,0.20935395544723231,0.006422637600700761,168527
ap_ops,28,459375,0.6064413961977841,0.20935403720891313,0.006410242527259288,168527
no_slope,28,459375,0.6067128507660334,0.2094477668672024,0.010056447953688218,168527
ops,29,493827,0.6077860342034545,0.20999614348457565,0.008233691636981743,185143
reset_ons,29,493827,0.6075801865741165,0.20992204058197603,0.0072558336348038785,185143
persistent_ons,29,493827,0.6075789765192908,0.2099213670811963,0.007235438383454725,185143
ap_ops,29,493827,0.6075790945652787,0.20992143191697762,0.007242605740261985,185143
no_slope,29,493827,0.6078158434230974,0.20999893386418794,0.010543083665112184,185143
ops,30,468451,0.6086872127352528,0.21040331211973037,0.007673174823948432,176695
reset_ons,30,468451,0.6084958897746339,0.21034223535617463,0.006561741556068071,176695
persistent_ons,30,468451,0.6084920481792205,0.21034042153388938,0.006592825302923759,176695
ap_ops,30,468451,0.6084922389284179,0.21034051346332408,0.006613579426251747,176695
no_slope,30,468451,0.6087210802381066,0.21040876972457703,0.010588008613207382,176695
