reference,regime,amgtp_minus_ref,wilcoxon_p,holm_p
learn_alpha,s2_gradual,0.00011154452374843614,7.62939453125e-05,0.0005340576171875
learn_alpha,s3_recurring,-0.001983956001807256,1.52587890625e-05,0.000213623046875
learn_alpha,s4_local,-0.025095832475301477,1.52587890625e-05,0.000213623046875
learn_alpha,s5_opposing_local,-0.0002909888077362523,0.2246856689453125,0.6740570068359375
learn_alpha,s6_mixed,0.005941940373214905,0.10888671875,0.435546875
learn_alpha,s7_opposing_recurring,0.00014685329915487314,0.2246856689453125,0.6740570068359375
learn_alpha,s3b_recurring_p9,-0.0010923947124494913,1.52587890625e-05,0.000213623046875
learn_alpha,s3c_recurring_p11,-0.0014766043017485728,1.52587890625e-05,0.000213623046875
learn_alpha,s3d_recurring_p17,-0.0015728328972902268,1.52587890625e-05,0.000213623046875
learn_alpha,s3e_recurring_p21,-0.00027463731990768443,0.2841644287109375,0.6740570068359375
learn_alpha,s8_irregular_recurring,0.012772861873621184,0.0013427734375,0.008056640625
learn_alpha,s9_heterogeneous,0.006319552337926138,3.0517578125e-05,0.000244140625
fixed_share,s0_none,-0.003042799798879441,1.52587890625e-05,0.000213623046875
fixed_share,s1_abrupt,-0.006654554051018015,1.52587890625e-05,0.000213623046875
fixed_share,s2_gradual,-0.0016992462276475093,1.52587890625e-05,0.000213623046875
fixed_share,s3_recurring,-0.003041316395894108,1.52587890625e-05,0.000213623046875
fixed_share,s4_local,-0.025277684443073784,1.52587890625e-05,0.000213623046875
fixed_share,s5_opposing_local,-0.000603113675405021,0.0714111328125,0.2142333984375
fixed_share,s6_mixed,0.00628162860988703,0.10888671875,0.2177734375
fixed_share,s7_opposing_recurring,-0.0006653325271193176,4.57763671875e-05,0.000274658203125
fixed_share,s3b_recurring_p9,-0.0033948975730308103,1.52587890625e-05,0.000213623046875
fixed_share,s3c_recurring_p11,-0.0018270794660639254,1.52587890625e-05,0.000213623046875
fixed_share,s3d_recurring_p17,-0.002263848234559143,1.52587890625e-05,0.000213623046875
fixed_share,s3e_recurring_p21,-0.00012920636411156052,0.4873809814453125,0.4873809814453125
fixed_share,s8_irregular_recurring,0.009221228346518303,0.0149993896484375,0.0749969482421875
fixed_share,s9_heterogeneous,0.0030435735489822376,0.02667236328125,0.106689453125
m5b_smooth0.001,s0_none,0.0011116674395677604,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s1_abrupt,0.0007334751293831445,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s2_gradual,0.0010785564555084333,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s3_recurring,-0.00775344161556956,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s4_local,0.0022924770817445705,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s5_opposing_local,0.001709728669750649,0.0005035400390625,0.003021240234375
m5b_smooth0.001,s6_mixed,-0.002584961050588618,0.088653564453125,0.088653564453125
m5b_smooth0.001,s7_opposing_recurring,0.00032272521410887527,0.010986328125,0.02197265625
m5b_smooth0.001,s3b_recurring_p9,-0.0006134775406878959,0.00384521484375,0.01153564453125
m5b_smooth0.001,s3c_recurring_p11,-0.005011187817146055,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s3d_recurring_p17,-0.015877917895037955,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s3e_recurring_p21,-0.022445370094359027,1.52587890625e-05,0.000213623046875
m5b_smooth0.001,s8_irregular_recurring,-0.03120906819236316,0.0005035400390625,0.003021240234375
m5b_smooth0.001,s9_heterogeneous,-0.00837625464527716,0.0008392333984375,0.00335693359375
