variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v3_mlp,,0.001,1e-05,0.0,1.0,0.41845912674041796,0.9128515720367432,"(16, 16)",,
v3_mlp,,0.001,1e-05,0.0,2.0,0.41845912674041796,0.9094960689544678,"(16, 16)",,
v3_mlp,,0.001,1e-05,0.1,1.0,0.41845912674041796,1.8381404876708984,"(16, 16)",,
v3_mlp,,0.001,1e-05,0.1,2.0,0.41845912674041796,1.84043288230896,"(16, 16)",,
v3_mlp,,0.001,0.0001,0.0,1.0,0.41845912674041796,0.9132089614868164,"(16, 16)",,
v3_mlp,,0.001,0.0001,0.0,2.0,0.41845912674041796,0.9087657928466797,"(16, 16)",,
v3_mlp,,0.001,0.0001,0.1,1.0,0.41845912674041796,1.8505139350891113,"(16, 16)",,
v3_mlp,,0.001,0.0001,0.1,2.0,0.41845912674041796,1.8401122093200684,"(16, 16)",,
v3_mlp,,0.0003,1e-05,0.0,1.0,0.41845912674041796,1.0064375400543213,"(32, 16)",,
v3_mlp,,0.0003,1e-05,0.0,2.0,0.41845912674041796,1.0074141025543213,"(32, 16)",,
v3_mlp,,0.0003,1e-05,0.1,1.0,0.41845912674041796,2.4123458862304688,"(32, 16)",,
v3_mlp,,0.0003,1e-05,0.1,2.0,0.41845912674041796,2.388214588165283,"(32, 16)",,
v3_mlp,,0.0003,0.0001,0.0,1.0,0.41845912674041796,1.0124363899230957,"(32, 16)",,
v3_mlp,,0.0003,0.0001,0.0,2.0,0.41845912674041796,1.0079967975616455,"(32, 16)",,
v3_mlp,,0.0003,0.0001,0.1,1.0,0.41845912674041796,2.3937172889709473,"(32, 16)",,
v3_mlp,,0.0003,0.0001,0.1,2.0,0.41845912674041796,2.3953092098236084,"(32, 16)",,
v3_mlp,,0.001,1e-05,0.0,1.0,0.41845912674041796,1.0068700313568115,"(32, 16)",,
v3_mlp,,0.001,1e-05,0.0,2.0,0.41845912674041796,1.0026326179504395,"(32, 16)",,
v3_mlp,,0.001,1e-05,0.1,1.0,0.41845912674041796,2.389674186706543,"(32, 16)",,
v3_mlp,,0.001,1e-05,0.1,2.0,0.41845912674041796,2.394437551498413,"(32, 16)",,
v3_mlp,,0.001,0.0001,0.0,1.0,0.41845912674041796,1.0104825496673584,"(32, 16)",,
v3_mlp,,0.001,0.0001,0.0,2.0,0.41845912674041796,1.0077579021453857,"(32, 16)",,
v3_mlp,,0.001,0.0001,0.1,1.0,0.41845912674041796,2.408226728439331,"(32, 16)",,
v3_mlp,,0.001,0.0001,0.1,2.0,0.41845912674041796,2.4001481533050537,"(32, 16)",,
v3_mlp,,0.0003,1e-05,0.0,1.0,0.41845912674041796,1.2821567058563232,"(64, 32)",,
v3_mlp,,0.0003,1e-05,0.0,2.0,0.41845912674041796,1.286191701889038,"(64, 32)",,
v3_mlp,,0.0003,1e-05,0.1,1.0,0.41845912674041796,4.0918192863464355,"(64, 32)",,
v3_mlp,,0.0003,1e-05,0.1,2.0,0.41845912674041796,4.084915399551392,"(64, 32)",,
v3_mlp,,0.0003,0.0001,0.0,1.0,0.41845912674041796,1.2799310684204102,"(64, 32)",,
v3_mlp,,0.0003,0.0001,0.0,2.0,0.41845912674041796,1.2802751064300537,"(64, 32)",,
v3_mlp,,0.0003,0.0001,0.1,1.0,0.41845912674041796,4.0854058265686035,"(64, 32)",,
v3_mlp,,0.0003,0.0001,0.1,2.0,0.41845912674041796,4.097898960113525,"(64, 32)",,
v3_mlp,,0.001,1e-05,0.0,1.0,0.41845912674041796,1.280881404876709,"(64, 32)",,
v3_mlp,,0.001,1e-05,0.0,2.0,0.41845912674041796,1.290895938873291,"(64, 32)",,
v3_mlp,,0.001,1e-05,0.1,1.0,0.41845912674041796,4.0959250926971436,"(64, 32)",,
v3_mlp,,0.001,1e-05,0.1,2.0,0.41845912674041796,4.082519054412842,"(64, 32)",,
v3_mlp,,0.001,0.0001,0.0,1.0,0.41845912674041796,1.2742574214935303,"(64, 32)",,
v3_mlp,,0.001,0.0001,0.0,2.0,0.41845912674041796,1.2830054759979248,"(64, 32)",,
