ons_lam,ons_eta,eta_m,tau,mean_dev_loss,mean_worst_day
0.1,1.0,100.0,64.0,0.6095559918498653,0.6167048215976769
1.0,0.25,100.0,4.0,0.6095566769376767,0.6166873812606118
0.001,0.25,100.0,16.0,0.6095574176627542,0.6166974893893388
1.0,0.25,100.0,16.0,0.6095576057062392,0.6166966282736146
1.0,0.25,100.0,64.0,0.609558182374588,0.6167020980686923
1.0,0.25,10.0,16.0,0.6095582627804683,0.6166914788822666
1.0,0.25,10.0,4.0,0.6095583578381901,0.6166891551037249
1.0,0.25,10.0,64.0,0.6095584440178561,0.616692338682797
1.0,0.25,1.0,16.0,0.6095584859714952,0.616690596555475
1.0,0.25,1.0,4.0,0.6095585891515406,0.6166893910594012
1.0,0.25,100.0,inf,0.6095586190328134,0.6167044363327393
1.0,0.25,10.0,inf,0.6095590158106005,0.6166925064057124
1.0,0.25,1.0,64.0,0.6095591679929852,0.6166910549709493
0.001,0.25,100.0,4.0,0.6095602247368946,0.6167014082198733
1.0,0.25,1.0,inf,0.6095606466549889,0.6166912048371987
0.1,1.0,10.0,16.0,0.6095629846716558,0.616738032687488
0.01,0.25,100.0,inf,0.6095631812575748,0.6167000134474442
0.001,0.25,10.0,64.0,0.6095636834987601,0.6166903445286726
0.1,1.0,1.0,inf,0.6095656495170426,0.6167408225946337
0.01,1.0,100.0,4.0,0.6095715017850147,0.6166836236559403
0.001,0.25,100.0,64.0,0.6095748246470715,0.6167082798095992
1.0,4.0,100.0,inf,0.6095788806486161,0.6167202698383469
0.01,1.0,100.0,16.0,0.6095789038701959,0.6166976269014682
0.1,1.0,100.0,inf,0.6095803448763829,0.6167156715972643
0.01,1.0,10.0,64.0,0.6095821430688402,0.6167033762037996
0.001,0.25,10.0,16.0,0.6095838513590205,0.6167006630064008
0.001,0.25,100.0,inf,0.609585318812246,0.6167141644168016
0.001,0.25,1.0,inf,0.6095863576113927,0.6167167802737153
0.001,1.0,100.0,16.0,0.6095864216439313,0.6167015270747758
0.1,4.0,100.0,16.0,0.6095864570323123,0.6167025375555181
0.01,0.25,1.0,64.0,0.609587220904838,0.6167077571165649
0.001,0.25,10.0,inf,0.6095873475975582,0.616709465887446
0.1,4.0,10.0,64.0,0.6095875358546635,0.6167051043083447
0.01,1.0,100.0,64.0,0.6095887931793945,0.6167093220563836
0.001,1.0,100.0,4.0,0.609589196976675,0.616693654863735
0.1,4.0,100.0,4.0,0.609590269836695,0.6167000773183907
0.1,4.0,100.0,64.0,0.6095914399097312,0.6167106252887645
0.01,1.0,10.0,16.0,0.6095914585914096,0.6167163031555486
0.001,1.0,10.0,64.0,0.6095923506370019,0.6167040364241864
