method,is_test,day,n,log_loss,brier,ece,clicks
rolling_3,True,29,493827,0.6087648327867112,0.21047556280261737,0.020347473680150156,185143
rolling_3,True,30,468451,0.6090841159794472,0.21059215955416952,0.012835569204907353,176695
rolling_7,False,16,477680,0.6099361424449027,0.21084486165615424,0.009912873523756124,178684
rolling_7,False,17,450258,0.6172860326630938,0.2141946083144631,0.015301820607004598,172509
rolling_7,False,18,538532,0.6157952257143016,0.21350452741062326,0.007985557564915454,204091
rolling_7,False,19,582350,0.6053927969538174,0.20879665886795637,0.0087132461882336,212241
rolling_7,False,20,552965,0.6066303035131726,0.209359633393203,0.006748475765840092,202913
rolling_7,False,21,562085,0.6061071305004274,0.2091076358435998,0.009458868270555797,205782
rolling_7,True,22,528347,0.6078286349429028,0.2099402780364367,0.006692374572252565,195055
rolling_7,True,23,506792,0.6078715209405201,0.2099865784650871,0.007900578879276136,186589
rolling_7,True,24,436408,0.6139842201649789,0.21278144161414878,0.009488187945517253,164916
rolling_7,True,25,507128,0.6115493578788417,0.21163885894554266,0.006035860666358804,188189
rolling_7,True,26,581336,0.5998037763771192,0.20630366376484024,0.01477198140017743,206145
rolling_7,True,27,518487,0.6022836638790272,0.20749200568393342,0.006410854076742395,185940
rolling_7,True,28,459375,0.6068779382054703,0.20952082650012083,0.007396748964591377,168527
rolling_7,True,29,493827,0.6082089481304402,0.21019290747473857,0.012887270684102276,185143
rolling_7,True,30,468451,0.6089686714211594,0.21052675715403513,0.009597810755585898,176695
equal_ensemble,False,16,477680,0.6098899940970981,0.21086217843672536,0.012274629032478586,178684
equal_ensemble,False,17,450258,0.6175190911837485,0.214312600416622,0.019782761782371858,172509
equal_ensemble,False,18,538532,0.6159578079088435,0.21359257549454547,0.01409760194967984,204091
equal_ensemble,False,19,582350,0.6053595242706392,0.20878087756896052,0.009251825558049213,212241
equal_ensemble,False,20,552965,0.6066644268244973,0.20937802114081708,0.009038183711626992,202913
equal_ensemble,False,21,562085,0.6060507523787947,0.20908517641971178,0.009849263123938906,205782
equal_ensemble,True,22,528347,0.6077030743640326,0.20988049590309976,0.007827150614727168,195055
equal_ensemble,True,23,506792,0.6077558634041624,0.20994904300573347,0.0071545554877081785,186589
equal_ensemble,True,24,436408,0.6141355599574053,0.2128570240248441,0.012181888931313301,164916
equal_ensemble,True,25,507128,0.6113995949403134,0.21157496328699887,0.00878038475017112,188189
equal_ensemble,True,26,581336,0.5994786761093577,0.20617335151698393,0.01028287032952662,206145
equal_ensemble,True,27,518487,0.6022243016609702,0.20745472698308845,0.007820947447255972,185940
