day,block,n,mean_residual
17,35,5917,0.015355956021794749
17,36,5652,0.003809109475380728
17,37,5967,0.006796007534080634
17,38,6041,0.01285110536064064
17,39,5873,0.002302539713160614
17,40,5887,0.004195365855176676
17,41,5945,0.017838490429193058
17,42,5923,-0.0018513254166869647
17,43,5902,0.015801462891664547
17,44,5741,0.005140411593838261
17,45,5837,0.013812401944276123
17,46,5699,-0.002043440389441992
17,47,5666,0.013922466781197462
17,48,5593,-0.0008893537676631714
17,49,5760,-0.0010283379261151033
17,50,5913,0.013734253699379466
17,51,6053,0.0045551184616046386
17,52,6048,0.017536006775410822
17,53,6283,0.007413695807459798
17,54,6256,0.014660294028871442
17,55,6308,0.002757575044954644
17,56,6142,0.015824813651561787
17,57,6452,0.013067521265113815
17,58,6515,0.015490753205844345
17,59,6603,0.014284508942854176
17,60,6614,0.020594739059891558
17,61,6823,0.016866847923698105
17,62,7029,0.021938644911844517
17,63,7119,0.00743985910954604
17,64,7041,0.016721594857738487
17,65,7260,0.01259324571036203
17,66,7257,0.01634793610100347
17,67,7375,0.011705236507114778
17,68,7441,0.015316376759460437
17,69,7407,0.011747752569359985
17,70,7555,0.018842339658120134
17,71,7740,0.010111656401280601
17,72,7574,0.024315657939920448
17,73,7547,0.0166327592483051
17,74,7614,0.011277843276312136
17,75,7627,0.01939712522714716
17,76,7637,0.012263214498032754
17,77,7410,0.021240274088604977
17,78,7421,0.01615307570737247
17,79,7443,0.01491510987980297
17,80,7166,0.01512253150470098
17,81,7145,0.018573815004723788
17,82,6982,0.01756888572341481
17,83,6711,0.008958436215030252
17,84,6339,0.01962803228730171
17,85,5950,0.03278917554443842
17,86,5601,0.0110208720737581
17,87,5335,0.019863370975563243
17,88,4691,0.016048766922762674
17,89,4620,0.006380771882368664
17,90,4218,0.007439680394671641
17,91,3771,0.02207298967650533
17,92,2876,0.010029561305162051
17,93,2570,0.006918801326890807
17,94,2189,0.006702840182806666
17,95,1942,-0.0018326887114655068
18,0,1555,0.004956615361373547
18,1,1412,-0.0020101630211167517
18,2,1232,0.02148802294713904
18,3,1006,-7.693963202976051e-05
18,4,938,0.0024490157177637414
18,5,895,0.00791451248685575
18,6,781,-0.009859241437050938
18,7,746,0.02218621735133969
18,8,712,0.020272146642542208
18,9,669,-0.018783764027255068
18,10,700,0.01819891632134715
18,11,693,0.02244386806376609
18,12,746,0.028316182144831552
18,13,817,0.014319869438240252
18,14,825,-0.014926941158570054
18,15,881,0.044714209393794474
18,16,991,0.05018464143157535
18,17,1121,0.006463258391385653
18,18,1247,0.01203742699595403
18,19,1431,0.03857676644627789
18,20,1753,0.046068191949362375
18,21,1889,0.02386519289912091
18,22,2192,0.015511010042706767
18,23,2500,0.034663454452758896
18,24,2857,0.024438505244865516
18,25,3232,0.02430895863589865
18,26,3731,0.026220850279824893
18,27,4022,0.021854015524254686
18,28,4472,0.035189358531545874
18,29,4815,0.040534386722315546
18,30,5472,0.024972587967090246
18,31,5829,0.02002131211213257
18,32,6094,0.025624148383673516
18,33,6593,0.014743636997933116
18,34,6923,0.012721970453701497
18,35,7039,0.009433649430619636
18,36,6998,0.001979113959838394
18,37,7212,0.008589300763379397
18,38,7330,0.0027364172979609585
18,39,7540,0.0008148877421172905
18,40,7378,0.0037147217999831564
18,41,7215,-0.0027113534623617744
18,42,7434,0.00042213187830903554
18,43,7137,0.005511894014861159
18,44,7131,0.001348408521732035
18,45,7002,0.0021484526619902806
18,46,7108,0.0038828958853531397
18,47,7201,-0.0009470953530019055
18,48,7075,0.0036974328275221893
18,49,7018,0.007471985376187182
18,50,7112,0.00013012403036229134
18,51,7127,3.4092133410792584e-05
18,52,7067,0.004981034800046275
18,53,7317,0.0012946002921291793
18,54,7467,-0.0007111141746085173
18,55,7650,0.007420469761298789
18,56,7568,0.009464666998606798
18,57,7620,-0.00821739397249371
18,58,7753,0.00395092469172727
18,59,7855,0.004693144093835244
18,60,7928,0.005166499447868236
18,61,7971,0.010227388703479024
18,62,8109,-0.0022066493562195597
18,63,8547,0.004233119947631523
18,64,8566,0.007283762671565534
18,65,8815,0.0050217999054171245
18,66,8691,0.0028583604051925916
18,67,8873,5.813402573817893e-05
18,68,9045,0.0006810023639248886
18,69,9535,0.015119907107794883
18,70,9428,-0.001424541264006119
18,71,9737,0.00681934958028855
18,72,9537,0.003447814380656994
18,73,9919,0.0018474915870858185
18,74,9825,0.009031814503569971
18,75,10024,0.007584835330242094
18,76,9994,0.004644555205591379
18,77,9817,0.004571748997705703
18,78,9662,0.004346189262803715
18,79,9681,0.006976800860961211
18,80,9379,0.0013201276856403938
18,81,8966,-0.0017928650645615842
18,82,8735,-0.009387530867329508
18,83,8449,0.0023348998599242972
18,84,7737,0.003915642769034225
18,85,7419,-0.00023067054642224432
18,86,6879,0.0034401983427464803
18,87,6125,0.0010626589680512272
18,88,5394,0.002998773021424101
18,89,5024,-0.0010415003218223835
18,90,4273,-0.004886801848679608
18,91,3732,-0.001318250642048176
18,92,2743,0.010982249215739858
18,93,2332,0.007030434086323436
18,94,1924,0.011744569294099632
18,95,1591,-0.007379562643225067
19,0,1360,0.0113707049788961
19,1,1164,-0.014623225067582178
19,2,1007,0.0216021383547179
19,3,911,-0.008628320788713126
19,4,813,0.036975021831429936
19,5,797,0.01055983757579351
19,6,758,0.0009272017856833519
19,7,689,0.035195768224761864
19,8,740,-0.00339059132384375
19,9,773,-0.012051628900219163
19,10,726,0.017528123094282123
19,11,851,0.019864658645545943
19,12,957,0.019359929704929224
19,13,965,0.01280114485427034
19,14,1025,0.0013395873862708275
19,15,1253,0.003218836533566813
19,16,1354,0.01517046193488224
19,17,1557,0.01873929230422344
19,18,1826,0.01144287227941997
19,19,2188,-0.0009092141357681983
19,20,2538,0.01376599087900574
19,21,2980,0.02218239246196827
19,22,3661,0.013160023734254593
19,23,4149,0.001414646999847971
19,24,4599,0.0054530386293745025
19,25,5203,0.010536904766226481
19,26,5826,-0.0011006525426762745
19,27,6105,0.003334039794965838
19,28,6393,-0.004849301319275368
19,29,6757,-0.007849415160850443
19,30,7178,-0.002008746877656567
19,31,7708,-0.010356679490960266
19,32,7784,-0.005116977182900139
19,33,8042,-0.009002827959345412
19,34,8115,-0.004410398469519021
19,35,8180,-0.014236952336254452
19,36,8299,-0.011991204076627297
19,37,8170,-0.007565497894423322
19,38,8288,-0.010975035925373884
19,39,8564,-0.015195655616416613
19,40,8175,-0.01970644285306527
19,41,8347,-0.02085435936673095
19,42,8280,-0.012363419533820374
19,43,8382,-0.011745640400973825
19,44,8232,-0.019659886135076195
19,45,8408,-0.009322499742529747
19,46,8353,-0.015281595620475074
19,47,8507,-0.018365218356460697
19,48,8422,-0.014451920693206196
19,49,8516,-0.006734061120327268
19,50,8506,-0.007928480505452017
19,51,8671,-0.004532765020360384
19,52,8316,-0.012870631867463775
19,53,8398,-0.010520870895739545
19,54,8478,-0.014573309378036843
19,55,8590,-0.007588806624924237
19,56,8291,-0.007589822663439719
19,57,8482,-0.008018149546300042
19,58,8588,-0.007628798683938136
19,59,8294,-0.014638844468828772
19,60,7921,-0.007210088279313044
19,61,7434,-0.01087320278709608
19,62,8028,-0.004886372185986436
19,63,8735,-0.006519513985401305
19,64,8214,-0.015815452267737288
19,65,8860,0.0002556458898759123
19,66,8757,-0.004930959866715038
19,67,8922,-0.0075549709571491284
19,68,8829,-0.008269618536335505
19,69,9065,-0.00885913120910164
19,70,9026,-0.007772706449377012
19,71,9181,-0.022013027401663235
19,72,8818,-0.010019640784241331
19,73,8988,-0.0027071191844125074
19,74,9162,-0.004935018788557809
19,75,9176,0.0006145601627100892
19,76,9170,-0.00857722669040577
19,77,9299,-0.006793382862857478
19,78,9400,-0.0010167188170695529
19,79,9324,0.0006462021397682697
19,80,9106,-0.0018006825034196006
19,81,8781,0.0030692368269216314
19,82,8604,-0.0005936929025267215
19,83,8437,-0.0015859886931015785
19,84,7504,0.004214121623415294
19,85,7077,0.001672624581660164
19,86,6431,-0.009164099437955063
