method,day,n,log_loss,brier,ece,clicks
adamoe,28,459375,0.606837967474722,0.2094906729460104,0.010026653989499455,168527
long_only,28,459375,0.6068354157809429,0.2094899833006886,0.009951749351548144,168527
ops,28,459375,0.6066382907331236,0.20941817642643815,0.007032368674507354,168527
dualtime,28,459375,0.6067838907846328,0.2094698593577802,0.00830933665147547,168527
expanding,29,493827,0.6091070882587667,0.21056804840417293,0.013697448451867914,185143
best_fixed,29,493827,0.6081716895818534,0.21019291323907202,0.013574847981828555,185143
arw,29,493827,0.6081716895818534,0.21019291323907202,0.013574847981828555,185143
adamoe,29,493827,0.6080790997096371,0.21013313256390023,0.012660218066124971,185143
long_only,29,493827,0.6080768394537779,0.21013223573787526,0.012658190626388038,185143
ops,29,493827,0.6078162245528768,0.21001105154108357,0.008251162307312161,185143
dualtime,29,493827,0.6079463657407932,0.210058084913385,0.009389368971835585,185143
expanding,30,468451,0.6100312647959804,0.21099301890523947,0.01319060529287422,176695
best_fixed,30,468451,0.6092823259829018,0.2107065031592708,0.01667588941574237,176695
arw,30,468451,0.6090297410369855,0.21054139987416848,0.008944938066832596,176695
adamoe,30,468451,0.6089307584756882,0.21052322191958345,0.011882515274955215,176695
long_only,30,468451,0.6089119804503281,0.21051494632654527,0.011745093756257525,176695
ops,30,468451,0.6087208088013106,0.21041909977599868,0.007479490723636444,176695
dualtime,30,468451,0.6087583152335971,0.2104305487552042,0.008155872406087155,176695
