regime,seed,config,ll,mean_beta
s1_abrupt,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3409782403095577,0.40779423117637636
s1_abrupt,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3411056687392387,0.4409549346991948
s1_abrupt,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3408431782730435,0.36841962592942373
s1_abrupt,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.34097273624829444,0.40640912311417715
s1_abrupt,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.34097139607886723,0.4054777818066733
s1_abrupt,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.34108305515009735,0.43560547062328886
s3_recurring,0,m5b_default,0.4257959369696642,
s3_recurring,0,m5b_high_smooth,0.41175437420978894,
s3_recurring,0,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4156393349005238,0.8913987176758903
s3_recurring,0,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.4156589531442725,0.8835188695362636
s3_recurring,0,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.416082353129145,0.8676904831613813
s3_recurring,0,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.41667822151631767,0.8538404822349548
s3_recurring,0,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4151808408459766,0.8789576854024614
s3_recurring,0,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.4155620384168113,0.876993066923959
s3_recurring,0,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.41630893492194576,0.8385779176439557
s3_recurring,0,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.4163962612194426,0.8579728245735169
s3_recurring,1,m5b_default,0.42836316626428417,
s3_recurring,1,m5b_high_smooth,0.4186462839015633,
s3_recurring,1,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4219863334583034,0.8443098647253854
s3_recurring,1,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.42397671138676335,0.8528852139200483
s3_recurring,1,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.42205804121521207,0.8709669641086033
s3_recurring,1,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.42186288908987485,0.8647658654621669
s3_recurring,1,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.42300058785447897,0.9009653414998736
s3_recurring,1,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.4232904681064334,0.8832648498671395
s3_recurring,1,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.42206887918496483,0.8438490799495152
s3_recurring,1,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.4231913738653649,0.8626104576247079
s3_recurring,2,m5b_default,0.42707326574793447,
s3_recurring,2,m5b_high_smooth,0.41724474124798344,
s3_recurring,2,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.42225451687578663,0.8934460231236049
s3_recurring,2,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.42119030066589014,0.8424339941569737
s3_recurring,2,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.4215940747379333,0.85248202085495
s3_recurring,2,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.42186224364699026,0.8389359337942941
s3_recurring,2,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4222380258898706,0.85154721226011
s3_recurring,2,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.4222186282080537,0.8600452406065805
s3_recurring,2,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.42584087491328954,0.8583949906485421
s3_recurring,2,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.4219361323722308,0.8472213472638811
s3_recurring,3,m5b_default,0.44038893301897264,
s3_recurring,3,m5b_high_smooth,0.4286905294706204,
s3_recurring,3,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4321460107954474,0.8711222035544259
s3_recurring,3,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.43236030582153906,0.874069687298366
s3_recurring,3,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.43276036000230533,0.878256072316851
s3_recurring,3,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.4327230749721997,0.8653486643518721
s3_recurring,3,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.43184258203431175,0.8690879344940186
s3_recurring,3,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.4320692918608753,0.8549583792686463
