day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
91,rolling_14,0.3745869020941499,14,0.37400404640167567,0.3742624392496067,low
92,rolling_7,0.3784892286360997,7,0.3784947910767461,0.37835702732106224,high
93,rolling_3,0.35405858351088426,3,0.354484351239433,0.355306552645927,low
94,rolling_7,0.35508255598919575,7,0.3533951401847834,0.3541739767189159,low
95,rolling_3,0.34411317200901487,3,0.34391753718901774,0.3443740596560214,low
96,rolling_7,0.3563289073985743,7,0.3559200398355903,0.3557892547595642,high
97,rolling_14,0.41936298312895876,14,0.41901330462560443,0.41908385538640225,low
98,rolling_14,0.37021144989353605,14,0.3703814290804519,0.3702115503007126,high
99,rolling_14,0.37814908749436055,14,0.37857180180853456,0.38030275507129885,low
100,rolling_7,0.36465088787051547,7,0.36491821184587137,0.3645405331753204,high
101,rolling_7,0.37751205364703605,7,0.377211425565516,0.37713285518199685,high
102,rolling_7,0.38129479392103915,7,0.38090965387968145,0.38108164643965736,low
103,rolling_7,0.3935443963476884,7,0.39227961983922977,0.3929281414074861,low
104,expanding,0.38718541323593647,60,0.3865299053736223,0.38711507541484724,low
105,rolling_7,0.3749859545681542,7,0.37480692833219226,0.37477811875182904,high
106,rolling_3,0.3820752999754088,3,0.3811383391417868,0.3824943447089434,low
107,expanding,0.4048925092892641,60,0.4046498975232032,0.4064425486851223,low
108,rolling_7,0.4403578029560034,7,0.43877629928008954,0.43950780740631756,low
109,rolling_14,0.3911901476882379,14,0.39121734553531434,0.3925207927879871,low
110,rolling_14,0.3228268038192132,14,0.32355628270331316,0.3237245902521584,low
111,rolling_7,0.4200140629462442,7,0.41921409770425233,0.41952724806680214,low
112,rolling_14,0.4227609185180244,14,0.4216123684863463,0.4225253226768815,low
113,rolling_14,0.3968460258546515,14,0.39528940010445757,0.39642814708727603,low
114,rolling_7,0.39066890615746225,7,0.3899832015019045,0.3903789521181925,low
115,rolling_7,0.4079334152452768,7,0.4070578038661242,0.40763969336159434,low
116,rolling_14,0.4304524521122702,14,0.43058958878413617,0.4303657820318097,high
117,rolling_3,0.4443427541429022,3,0.4432125799947388,0.44442599818139733,low
118,rolling_14,0.4278754560954028,14,0.4280465085405106,0.4285172954613697,low
119,rolling_7,0.405257332975743,7,0.40518353222634956,0.40507040275385015,high
