ons_lam,ons_eta,eta_m,tau,mean_dev_loss,mean_worst_day
0.01,1.0,100.0,inf,0.42265213544032987,0.42752507384679145
0.01,1.0,100.0,64.0,0.42265216598508415,0.4275352839651658
0.01,1.0,10.0,64.0,0.4226599556149988,0.4275570822330774
0.1,4.0,100.0,64.0,0.42266027073839957,0.4275414159731897
0.01,1.0,10.0,inf,0.4226613839484002,0.4275421043469087
0.01,1.0,100.0,16.0,0.42268459773905637,0.4275986058174211
0.1,4.0,100.0,16.0,0.42271041536337295,0.42762006596482016
0.001,0.25,100.0,4.0,0.42273553745198256,0.42758821956564225
0.01,1.0,10.0,16.0,0.42275777484965654,0.4276884988404071
0.1,1.0,1.0,64.0,0.4228537029968435,0.42686924081841826
0.001,4.0,100.0,inf,0.4228842929279462,0.42795241676171836
0.01,4.0,100.0,inf,0.4228842929279462,0.42795241676171836
0.001,4.0,10.0,inf,0.4228845703807522,0.42795292748179947
0.01,4.0,10.0,inf,0.4228845703807522,0.42795292748179947
0.01,4.0,100.0,64.0,0.4228869711502619,0.4279751953048083
0.001,4.0,100.0,64.0,0.42288711828350517,0.4279785879038995
0.001,4.0,10.0,64.0,0.4228881064533118,0.4279797615272483
0.1,4.0,10.0,inf,0.4228881744482719,0.42795956165395976
0.01,4.0,10.0,64.0,0.422889555198022,0.4279776199027932
0.1,4.0,10.0,64.0,0.422908765868894,0.42799754723475797
0.01,4.0,100.0,16.0,0.4229430525913795,0.4280899743054439
0.001,4.0,100.0,16.0,0.4229506130867209,0.42811074231780294
0.001,4.0,10.0,16.0,0.4229570557869497,0.4281146289964421
0.01,4.0,10.0,16.0,0.4229654748840892,0.4281053355923848
0.1,4.0,10.0,16.0,0.4230341552395633,0.4281625598157899
0.001,1.0,100.0,4.0,0.42311991544212785,0.4278005574114549
0.1,4.0,100.0,4.0,0.42312958183080746,0.42814700968194286
0.01,1.0,100.0,4.0,0.4231319088729297,0.42814249360319695
0.1,1.0,10.0,4.0,0.42317063703683516,0.4270483521852275
0.001,0.25,1.0,inf,0.42321823323817737,0.42859496864441216
0.001,1.0,1.0,inf,0.42322315753916456,0.4285761796171043
0.001,1.0,10.0,4.0,0.4232235202902351,0.42795695613542334
0.001,1.0,1.0,64.0,0.4233088381770302,0.4287563121575835
0.1,1.0,1.0,16.0,0.4233714676739919,0.42705153334577733
0.001,0.25,1.0,64.0,0.42347158296300513,0.42893829734088323
0.01,4.0,1.0,inf,0.4236450798177933,0.4293528239002115
0.001,4.0,1.0,inf,0.42364511829124796,0.42935290268431237
0.001,4.0,1.0,64.0,0.42369769384619826,0.42948944806233413
0.01,4.0,1.0,64.0,0.42370326574257017,0.4294850349200119
0.001,0.25,10.0,4.0,0.42373569868918376,0.4287029689701152
0.01,1.0,10.0,4.0,0.4237802574957737,0.42874956182442675
0.01,4.0,100.0,4.0,0.42379004099557127,0.4291597711436353
0.001,1.0,1.0,16.0,0.4238156094279136,0.42949900231669363
0.01,1.0,1.0,inf,0.4238717574272868,0.4296405187084649
0.001,4.0,100.0,4.0,0.4239292754709898,0.42934729827832513
0.1,1.0,1.0,4.0,0.4239677663525219,0.4274613698664229
0.001,4.0,10.0,4.0,0.4239965691037904,0.4293710778053516
0.01,4.0,10.0,4.0,0.42403736135691333,0.4293133102773196
0.1,4.0,1.0,inf,0.4240721429907223,0.4301165607949447
0.1,4.0,10.0,4.0,0.4240953754750854,0.42927849739943263
0.001,4.0,1.0,16.0,0.4241083566332387,0.43009961637063227
0.01,1.0,1.0,64.0,0.42414033794915346,0.42990544205696146
0.01,4.0,1.0,16.0,0.42420881360382223,0.4301232013517478
0.1,4.0,1.0,64.0,0.4242646750046782,0.43031353083932733
0.001,0.25,1.0,16.0,0.4245129478255969,0.4300853338345263
0.01,1.0,1.0,16.0,0.42517784601735875,0.4307651297416746
0.1,4.0,1.0,16.0,0.4252325747991219,0.4310168893708462
0.001,0.25,1.0,4.0,0.4273484132829341,0.43400828385427115
0.01,1.0,1.0,4.0,0.42857093254674195,0.43385204102804414
0.1,4.0,1.0,4.0,0.42863664422666675,0.43382053346462207
0.001,4.0,1.0,4.0,0.4286624096558502,0.43487828740622964
0.001,1.0,1.0,4.0,0.42869216996427545,0.43476985387454414
0.01,4.0,1.0,4.0,0.4295637080191788,0.43523222136436873
