regime,ablation,method,log_loss,se,n_seeds
s5_opposing_local,A8b 5-expert gate (M5b),m5b_smooth0.001,0.49210160944438464,0.0029119051854768633,12
s5_opposing_local,A9 static uniform-5,uniform5,0.5155041981795585,0.0029141283569869116,12
s5_opposing_local,A10 nonlinear persistence net (h=8),amgtp_hidden8,,,0
s5_opposing_local,A10 nonlinear persistence net (h=16),amgtp_hidden16,,,0
s5_opposing_local,A11 per-example beta_t(x),amgtp_bx,,,0
s5_opposing_local,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,,,0
s5_opposing_local,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,,,0
s5_opposing_local,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,,,0
s6_mixed,A0 expanding only,expanding,0.546019103516695,0.013704298946312582,12
s6_mixed,A1 no persistence (beta=0),amgtp_fixed_beta0,0.4003162406020126,0.010851505756063801,12
s6_mixed,A2 fixed low persistence,m5b_smooth0.001,0.3998407272628352,0.010447319822000796,12
s6_mixed,A3 fixed high persistence,m5b_smooth0.1,0.40190095995765923,0.008809638068002142,12
s6_mixed,"A4 adaptive beta, global q",amgtp_global_q,0.39921007992589,0.009864612592270967,12
s6_mixed,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.4120711198743467,0.005491102560545237,12
s6_mixed,A6 full AMG-TP,amgtp,0.3974709709099727,0.009863290720809744,12
s6_mixed,"A7 adaptive beta, no state feats",amgtp_no_state,0.39599991527766293,0.009627646475869002,12
s6_mixed,A8a 2-expert gate (M2),m2_context_gate,0.42997873496146405,0.009046450702099052,12
s6_mixed,A8b 5-expert gate (M5b),m5b_smooth0.001,0.3998407272628352,0.010447319822000796,12
s6_mixed,A9 static uniform-5,uniform5,0.4120711216423915,0.005491102450553956,12
s6_mixed,A10 nonlinear persistence net (h=8),amgtp_hidden8,,,0
s6_mixed,A10 nonlinear persistence net (h=16),amgtp_hidden16,,,0
s6_mixed,A11 per-example beta_t(x),amgtp_bx,,,0
