day,method,n,log_loss,brier,ece,clicks
25,apops_only,507128,0.6111088736441932,0.21143664606117984,0.007017383653417121,188189
25,ttam,507128,0.6111023703098891,0.2114338922704929,0.007058742524657203,188189
26,expanding,581336,0.6000985551995944,0.20645900534483524,0.00969465690110604,206145
26,best_fixed_window,581336,0.599861638302351,0.20634621363502564,0.01085386243228005,206145
26,arw,581336,0.5998037763594781,0.2063036637588288,0.014771981385708498,206145
26,adamoe,581336,0.5995449780591631,0.20619554536746512,0.010941252348616162,206145
26,ops,581336,0.599023414992064,0.20603842127287422,0.007546455648299049,206145
26,without_both,581336,0.5995471128126033,0.20619637312189573,0.010948645103874916,206145
26,amgtp_only,581336,0.5995637555716656,0.20620309174018936,0.011078055677615242,206145
26,apops_only,581336,0.5988809729986646,0.2059857145262602,0.006729451872649147,206145
26,ttam,581336,0.5988884545128638,0.205989024704669,0.0067613301131297125,206145
27,expanding,518487,0.602881236341886,0.2077235041765621,0.00869445456586261,185940
27,best_fixed_window,518487,0.6022836638476343,0.20749200566587434,0.00641085413721395,185940
27,arw,518487,0.6022836638476343,0.20749200566587434,0.00641085413721395,185940
27,adamoe,518487,0.6021403470796166,0.2074114096664735,0.0072703992576415,185940
27,ops,518487,0.6022012065810843,0.20744430778270073,0.0052103656317590155,185940
27,without_both,518487,0.6021404433995964,0.20741151601536395,0.007273726098199616,185940
27,amgtp_only,518487,0.6021380284015377,0.20741041030080604,0.0072509587994739454,185940
27,apops_only,518487,0.6017813238079549,0.20730224219456841,0.00606223945729827,185940
27,ttam,518487,0.6017816332002018,0.20730210888804354,0.0061013248699631544,185940
28,expanding,459375,0.60753431128271,0.20978560312191658,0.011086667673206657,168527
28,best_fixed_window,459375,0.6068779381961893,0.20952082649384282,0.007396748981792099,168527
28,arw,459375,0.6068779381961893,0.20952082649384282,0.007396748981792099,168527
28,adamoe,459375,0.6066500641183252,0.20943318918336157,0.009657867682563399,168527
28,ops,459375,0.6064778074844557,0.20935862735181862,0.007101998567902604,168527
28,without_both,459375,0.6066497170681475,0.2094330966166483,0.009654886088948206,168527
28,amgtp_only,459375,0.6066527356200896,0.20943410556176328,0.009722845502471725,168527
28,apops_only,459375,0.6063201284789392,0.20930998225261058,0.006658619587930372,168527
28,ttam,459375,0.606319718709678,0.20930947688956802,0.006666058457561966,168527
29,expanding,493827,0.6090724356154367,0.21056042188332683,0.014261491325645533,185143
29,best_fixed_window,493827,0.6081669639900438,0.21016361583833676,0.011527825139105781,185143
29,arw,493827,0.6082089481324627,0.21019290747617375,0.012887270676083964,185143
29,adamoe,493827,0.6081277062810984,0.21017603960164086,0.01476588629458691,185143
29,ops,493827,0.6076755676851426,0.20994923276718686,0.0077846324008513735,185143
29,without_both,493827,0.6081274764356149,0.2101759135883615,0.014757457247132358,185143
29,amgtp_only,493827,0.6081248067037719,0.21017531588185484,0.014749362281396205,185143
29,apops_only,493827,0.6074647989355993,0.20987285524892982,0.006918256181357247,185143
29,ttam,493827,0.6074581756146484,0.20987029175143837,0.006871791628060097,185143
30,expanding,468451,0.6099666557899153,0.2109552859686156,0.012842409248684733,176695
30,best_fixed_window,468451,0.6090696357662353,0.21057887378665743,0.010157928861057632,176695
30,arw,468451,0.6089686714273461,0.21052675715369198,0.009597810723994508,176695
30,adamoe,468451,0.6087634063386128,0.21043116185915448,0.010767255264336997,176695
30,ops,468451,0.6086142273214689,0.21036953114162624,0.006967584574906835,176695
30,without_both,468451,0.6087625802993716,0.21043078451107483,0.010747850094181376,176695
30,amgtp_only,468451,0.6087576532281329,0.21042837274027065,0.010756868796628532,176695
30,apops_only,468451,0.6084305341666291,0.2103120445154711,0.005731677265169651,176695
30,ttam,468451,0.6084295999736583,0.21031171797971315,0.005761514546807192,176695
